game_id,title,title_zh,developer_id,developer,is_goty,gg_degree,gg_pagerank,gg_betweenness,gg_clustering,year,player_rating,n_genres,has_open_world,has_coop,has_online,studio_wins,studio_n_games,studio_pagerank,g_3D平台跳跃,g_CRPG,g_VR平台跳跃,g_互动电影冒险,g_侦探冒险,g_冒险,g_动作,g_动作冒险,g_动作角色扮演,g_卡丁车竞速,g_卡牌,g_即时战略,g_合作冒险,g_合家欢冒险,g_喜剧冒险,g_回合制角色扮演,g_增强现实,g_大型多人在线角色扮演,g_太空角色扮演,g_射击,g_平台动作,g_平台跳跃,g_战术射击,g_数字卡牌,g_未来竞速,g_机甲动作,g_模拟,g_模拟经营,g_横向卷轴平台,g_生存恐怖,g_生活模拟,g_科幻角色扮演,g_竞速,g_第一人称射击,g_第三人称射击,g_策略,g_策略角色扮演,g_英雄射击,g_虚拟现实,g_西部动作冒险,g_角色扮演,g_解谜,g_解谜冒险,g_银河恶魔城,cluster,cluster_hier,pca_x,pca_y
game_024,Starfield,星空,studio_bethesda,Bethesda Game Studios,0,7,0.006117966752501906,0.0,1.0,2023,83.0,1,1,0,0,2,8,0.010391215358544753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,-0.9626566057874146,0.27963413569523016
game_025,Fallout Shelter,辐射：避难所,studio_bethesda,Bethesda Game Studios,0,7,0.006117966752501906,0.0,1.0,2015,89.0,1,0,0,0,2,8,0.010391215358544753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-1.691163982984807,0.8389858898139446
game_026,The Elder Scrolls: Blades,上古卷轴：刀锋,studio_bethesda,Bethesda Game Studios,0,15,0.007687798531081383,0.014579164178660236,0.4666666666666667,2019,89.0,1,0,0,0,2,8,0.010391215358544753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,-0.4774765680101188,-0.7273938519768941
game_027,Grand Theft Auto III,侠盗猎车手III,studio_rockstar,Rockstar Games,0,34,0.012416870849085061,0.0032244849787060833,0.9144385026737968,2001,97.0,1,1,0,0,3,11,0.013784523466975939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2.9966173291813476,2.379810419292627
game_028,Grand Theft Auto: Vice City,侠盗猎车手：罪恶都市,studio_rockstar,Rockstar Games,0,34,0.012416870849085061,0.0032244849787060833,0.9144385026737968,2002,95.0,1,1,0,0,3,11,0.013784523466975939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2.954178080807868,2.3504793307474294
game_029,Grand Theft Auto: San Andreas,侠盗猎车手：圣安地列斯,studio_rockstar,Rockstar Games,0,34,0.012416870849085061,0.0032244849787060833,0.9144385026737968,2004,95.0,1,1,0,0,3,11,0.013784523466975939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2.9419247449364687,2.2738859326825325
game_030,Red Dead Revolver,荒野大镖客：左轮,studio_rockstar,Rockstar Games,0,10,0.0074600658090344845,0.0,1.0,2004,73.0,1,0,0,0,3,11,0.013784523466975939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,-0.11578509674096842,3.9105712882582657
game_031,Bully,恶霸鲁尼,studio_rockstar,Rockstar Games,0,34,0.012416870849085061,0.0032244849787060833,0.9144385026737968,2006,87.0,1,1,0,0,3,11,0.013784523466975939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2.7844210873139486,2.2331549765666354
game_032,L.A. Noire,黑色洛城,studio_rockstar,Rockstar Games,0,34,0.012416870849085061,0.0032244849787060833,0.9144385026737968,2011,89.0,2,0,0,0,3,11,0.013784523466975939,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3.5608364018823693,2.4138253353235246
game_033,Max Payne 3,马克思·佩恩3,studio_rockstar,Rockstar Games,0,11,0.0075371957625295066,0.0007710118293830473,0.8181818181818182,2012,87.0,1,0,0,0,3,11,0.013784523466975939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,-0.32090855598106993,2.5629002792042725
game_034,Red Dead Redemption 2,荒野大镖客：救赎2,studio_rockstar,Rockstar Games,0,34,0.012416870849085061,0.0032244849787060833,0.9144385026737968,2018,97.0,1,1,0,0,3,11,0.013784523466975939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2.8924639742744422,1.7287665357410282
game_035,System Shock 2,网络奇兵2,studio_irrational,Irrational Games,0,26,0.011586315288307546,0.0892915656828768,0.6307692307692307,1999,92.0,2,0,0,0,1,7,0.011395472066241233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2.598360176506115,-2.0577388193776205
game_036,BioShock Infinite,生化奇兵：无限,studio_irrational,Irrational Games,0,6,0.008044609453902228,0.0,1.0,2013,94.0,1,0,0,0,1,7,0.011395472066241233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,-1.4867875391921381,0.2062893009922218
game_037,SWAT 4,霹雳小组4,studio_irrational,Irrational Games,0,6,0.007306304191376119,0.0,1.0,2005,85.0,1,0,0,0,1,7,0.011395472066241233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1.984802464321129,0.8667849624757994
game_038,Freedom Force,自由力量,studio_irrational,Irrational Games,0,8,0.007997313444089582,0.0014067513797972016,0.6428571428571429,2002,89.0,1,0,0,0,1,7,0.011395472066241233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,-1.3216013670828075,-0.012079063787736417
